Approach,MatrixSize,AverageWall,AverageCPU,PeakMemoryKB
Basic,50,0.000819,0.000000,1910
Blocked,50,0.001308,0.000000,1324
Basic,100,0.000939,0.000000,1480
Blocked,100,0.001018,0.000000,1476
Basic,500,0.237350,0.234375,7203
Blocked,500,0.074081,0.078125,7224
Basic,1024,2.313524,2.302083,26780
Strassen,1024,62.959344,62.406250,327077
Blocked,1024,0.667528,0.671875,26974
Sparse_mc2depi,525825,0.010579,0.010417,47387
SparseSynthetic_10pctZeros,500,0.001121,0.000000,5270
SparseSynthetic_50pctZeros,500,0.000229,0.000000,3757
SparseSynthetic_90pctZeros,500,0.000042,0.000000,1687
