Approach,MatrixSize,AverageWall,AverageCPU,PeakMemoryKB,Threads,Speedup_vs_Basic,Efficiency_per_thread,Extra
Basic,128,0.001511,0.000000,2130,1,1.000,1.000,
Strassen,128,0.188250,0.175000,21344,,0.008,,
Blocked,128,0.001503,0.000000,3049,,1.005,,block_size=64
ParallelRows,128,0.001642,0.000000,1728,1,0.920,0.920,
ParallelRows,128,0.001074,0.000000,1782,2,1.406,0.703,
ParallelRows,128,0.000867,0.000000,1947,4,1.743,0.436,
ParallelRows,128,0.000947,0.000000,2284,8,1.595,0.199,
BlockedParallel,128,0.001588,0.000000,1754,1,0.951,0.951,block_size=64
BlockedParallel,128,0.001039,0.000000,1836,2,1.454,0.727,block_size=64
BlockedParallel,128,0.001047,0.000000,1974,4,1.443,0.361,block_size=64
BlockedParallel,128,0.000931,0.000000,1973,8,1.623,0.203,block_size=64
Vectorized,128,0.002009,0.003125,1919,,0.752,,transpose+tight-loops
Basic,256,0.012974,0.006250,2920,1,1.000,1.000,
Strassen,256,1.273788,1.246875,103436,,0.010,,
Blocked,256,0.010432,0.015625,3359,,1.244,,block_size=64
ParallelRows,256,0.013462,0.000000,2998,1,0.964,0.964,
ParallelRows,256,0.007501,0.000000,3161,2,1.730,0.865,
ParallelRows,256,0.004773,0.000000,3489,4,2.719,0.680,
ParallelRows,256,0.004624,0.003125,4226,8,2.806,0.351,
BlockedParallel,256,0.010853,0.000000,2997,1,1.195,1.195,block_size=64
BlockedParallel,256,0.006017,0.000000,3162,2,2.156,1.078,block_size=64
BlockedParallel,256,0.003978,0.000000,3490,4,3.262,0.815,block_size=64
BlockedParallel,256,0.003374,0.000000,4145,8,3.845,0.481,block_size=64
Vectorized,256,0.010746,0.015625,3495,,1.207,,transpose+tight-loops
Basic,512,0.148674,0.143750,7626,1,1.000,1.000,
Strassen,512,8.906082,8.765625,133390,,0.017,,
Blocked,512,0.084155,0.084375,8529,,1.767,,block_size=64
ParallelRows,512,0.151851,0.003125,7754,1,0.979,0.979,
ParallelRows,512,0.080863,0.000000,8000,2,1.839,0.919,
ParallelRows,512,0.045995,0.000000,8572,4,3.232,0.808,
ParallelRows,512,0.037891,0.000000,9433,8,3.924,0.490,
BlockedParallel,512,0.077526,0.003125,7712,1,1.918,1.918,block_size=64
BlockedParallel,512,0.040228,0.003125,8204,2,3.696,1.848,block_size=64
BlockedParallel,512,0.023374,0.003125,8696,4,6.361,1.590,block_size=64
BlockedParallel,512,0.018314,0.000000,9439,8,8.118,1.015,block_size=64
Vectorized,512,0.082810,0.084375,9737,,1.795,,transpose+tight-loops
Basic,1024,1.628460,1.628125,26772,1,1.000,1.000,
Strassen,1024,62.867187,62.168750,277273,,0.026,,
Blocked,1024,0.696512,0.696875,27006,,2.338,,block_size=64
ParallelRows,1024,1.277048,0.000000,26768,1,1.275,1.275,
ParallelRows,1024,0.619615,0.000000,28030,2,2.628,1.314,
ParallelRows,1024,0.358195,0.003125,28809,4,4.546,1.137,
ParallelRows,1024,0.279107,0.000000,32126,8,5.835,0.729,
BlockedParallel,1024,0.652437,0.003125,26605,1,2.496,2.496,block_size=64
BlockedParallel,1024,0.341185,0.000000,28030,2,4.773,2.386,block_size=64
BlockedParallel,1024,0.188454,0.000000,28810,4,8.641,2.160,block_size=64
BlockedParallel,1024,0.142890,0.003125,31636,8,11.397,1.425,block_size=64
Vectorized,1024,0.693195,0.696875,34780,,2.349,,transpose+tight-loops
Sparse_mc2depi,525825,0.008006,0.003125,46383,,,,
SparseSynthetic_10pctZeros,500,0.001926,0.000000,16567,,,,
SparseSynthetic_50pctZeros,500,0.000235,0.000000,3840,,,,
SparseSynthetic_90pctZeros,500,0.000193,0.000000,2156,,,,
